t,theta_true,omega_true,theta_hat,omega_hat,theta_meas,omega_meas,forcing_d,u,error,pid_integral,pid_derivative,K00,K01,K10,K11,P00,P01,P10,P11,Q00,Q01,Q10,Q11,R00,R01,R10,R11
0.0,0.1,-0.01924752401744552,0.15003672531816528,0.03823813848707547,0.15653726147684183,-0.009725361888495751,0.016989616433108368,0.0,9.849963274681835,0.19699926549363672,492.49816373409175,0.9523900209483906,0.0,0.0,0.9523900209483906,0.047619501047419674,0.0,0.0,0.047619501047419674,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.05
0.02,0.0996150495196511,21.635411552871034,0.13739799029633665,21.637067038545627,0.12338331270875713,21.589371585158617,0.01714671597164533,1083.6929594804956,9.862602009703663,0.39425130568770994,0.6319367510913665,0.48885447722983527,0.0,0.0,0.48885447722983527,0.024442723861491766,0.0,0.0,0.024442723861491766,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.05
0.04,0.5323232805770718,23.57216254806122,0.5609273907011023,23.582992651316662,0.5422363961139699,23.61724356551789,0.01708542989509438,100.28414490490707,9.439072609298897,0.5830327578736879,-21.17647002023828,0.3301423445802862,0.0,0.0,0.3301423445802862,0.01650711722901431,0.0,0.0,0.01650711722901431,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.05
0.06,1.0037665315382962,24.471132808544578,1.030314006984011,24.48184078097343,1.023510808346377,24.496940588961227,0.017426148086887625,52.62081881038609,8.96968599301599,0.7624264777340077,-23.469330814145373,0.2504547928769965,0.0,0.0,0.2504547928769965,0.01252273964384983,0.0,0.0,0.01252273964384983,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.05
0.08,1.4931891877091878,25.120117916917135,1.522296754183963,25.126682280938,1.5315161976613636,25.122638374408744,0.017546665464529973,43.52062477960315,8.477703245816038,0.9319805426503285,-24.59913735999759,0.20284094279190718,0.0,0.0,0.20284094279190718,0.010142047139595359,0.0,0.0,0.010142047139595359,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.05
0.1,1.9955915460475304,25.597297126701,2.0182164562460785,25.60263503407434,1.9862404679945724,25.600211192559364,0.017508425506462935,36.51073828081552,7.981783543753922,1.0916162135254068,-24.79598510310579,0.17139039243514653,0.0,0.0,0.17139039243514653,0.008569519621757326,0.0,0.0,0.008569519621757326,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.05
0.12,2.5075374885815505,25.986359945688616,2.527606118398846,25.9938083787423,2.5124226269216594,25.997212649741833,0.017466767838628064,31.31748144485305,7.472393881601154,1.24106409115743,-25.46948310763839,0.14921884130069907,0.0,0.0,0.14921884130069907,0.007460942065034953,0.0,0.0,0.007460942065034953,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.05
0.14,3.0272646874953226,26.311231999387115,3.0452467465888784,26.322055133810757,3.03065624736675,26.325635475265102,0.01760413263289928,25.026036691892187,6.954753253411122,1.3801591562256523,-25.882031409501625,0.13286189560334075,0.0,0.0,0.13286189560334075,0.006643094780167037,0.0,0.0,0.006643094780167037,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.05
0.16,3.553489327483065,26.61196485610597,3.573306840448253,26.620634623350927,3.585136219078602,26.582066362565598,0.01792129726095193,19.16362887133362,6.426693159551747,1.5086930194166872,-26.40300469296872,0.12038568284559062,0.0,0.0,0.12038568284559062,0.006019284142279532,0.0,0.0,0.006019284142279532,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.05
0.18,4.085728624605184,26.88905779996552,4.100111090065809,26.89577861069571,4.055021955037106,26.8546444937193,0.017993168456826244,12.969615228996716,5.899888909934191,1.626690797615371,-26.34021248087781,0.11062545952274654,0.0,0.0,0.11062545952274654,0.0055312729761373275,0.0,0.0,0.0055312729761373275,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.05
