t,theta1,omega1,theta2,omega2,x_beam,v_beam,domega1,domega2,dv,sensor_theta1,sensor_omega1,sensor_theta2,sensor_omega2,sensor_x,sensor_v,forcing,error,pid_integral,pid_derivative
0.0,0.2022511255627814,-3.905408733324028,0.1022511255627814,-3.2146782447643973,0.1022511255627814,0.0783728755454033,-177.92915684254962,-147.24537358408958,-0.9607249285497517,,,,,,,0.21206147584281831,,,
0.022511255627813906,0.1143354712358273,-7.901895793251066,0.029884681833717938,-6.522152386599409,0.10401539739847082,0.0570784089175537,-177.5328362843144,-146.9253513228486,-0.9459475286460304,,,,,,,0.21010231045390915,,,
0.04502251125562781,-0.0635461249103948,-9.82403786125647,-0.1169371577845779,-7.956242909599274,0.10530030405244277,0.04763574664615706,-85.38582208761781,-63.70548789948289,-0.41946404178937513,,,,,,,0.2927369503941438,,,
0.06753376688344172,-0.28469755250246137,-7.70044230153311,-0.29604217575954905,-5.757144337453635,0.10637264452221619,0.059610329341290166,94.33483386415546,97.68884546042517,0.5319375735015797,,,,,,,0.4595656858030894,,,
0.09004502251125562,-0.4580441775995049,-0.9203324265019157,-0.42564272362618916,0.5937087878189784,0.10771454788407615,0.09550758229464042,301.18754755971906,282.11900883155454,1.594635747861048,,,,,,,0.6666405663554766,,,
0.11255627813906953,-0.47876201611505576,8.880758861120597,-0.4122775933351166,9.598979674801395,0.10986454348350527,0.14635028283233698,435.38625519905344,400.0341445128412,2.258545741663454,,,,,,,0.8286301959567847,,,
0.13506753376688344,-0.27884498322339646,18.279242238918798,-0.1961925081094724,18.10429484415762,0.11315907211154688,0.1897216759491227,417.5015171604133,377.82500052318,1.9266536631212148,,,,,,,0.8476364840913266,,,
0.15757878939469733,0.132643711499638,22.993611213826465,0.21135790108867317,22.13590419678264,0.11742994525697485,0.20462706346297038,209.4227462408984,179.09304657549802,0.6621304364484786,,,,,,,0.6604932653032163,,,
0.18009004502251125,0.650258771340654,20.038328045254477,0.7096648990152459,19.029873761100625,0.12203635739095868,0.19840583663068967,-131.2802456438979,-137.97677424285223,-0.2763607208384258,,,,,,,0.2761928622762541,,,
0.20260130065032517,1.10134669632137,11.165490970406427,1.1380512518164105,10.756268065426639,0.12650272189740241,0.17968183395362014,-394.15114028047225,-367.53195079227334,-0.8317618078102669,,,,,,,-0.20641238790232808,,,
0.22511255627813906,1.352695917766237,0.8375410307036137,1.380188351838521,1.1362572484481994,0.13054758559320678,0.13605774373155025,-458.79048732146504,-427.34225829199784,-1.9378790300870605,,,,,,,-0.6261862607597991,,,
0.24762381190595295,1.3715500180071887,-10.108531890192616,1.4057669292172947,-9.054734673956977,0.13361041624249131,0.08131686819249839,-486.24888375270143,-452.7065078419544,-2.43171133783477,,,,,,,-0.8592735562928163,,,
0.27013506753376687,1.1439942726051537,-20.449475457439235,1.2019334823298191,-18.681579504704438,0.1354409610492259,0.03574706889469276,-459.3676931316886,-427.64584037031506,-2.024311751029188,,,,,,,-0.8756947752392904,,,
0.2926463231615808,0.6836509031280324,-29.0276059327632,0.7813876705680884,-26.67058501500209,0.1362456724550594,0.018642464182701643,-381.05961822605803,-354.88937811300025,-0.7598245515393387,,,,,,,-0.6630939711121876,,,
0.31515757878939465,0.030203045712152488,-35.26321877240197,0.18099931355203347,-32.48698206448632,0.13666533773180856,0.039758766399516116,-276.99977925417545,-258.3772822648662,0.9380330695869361,,,,,,,-0.23473482514966892,,,
0.3376688344172086,-0.7636162863329143,-35.4661235426059,-0.5503234442778236,-33.35724095588504,0.1375603574856746,0.051925183651083576,-9.013480791947893,-38.658833864578554,0.5404592907974077,,,,,,,0.37198334696678986,,,
0.3601800900450225,-1.5620032595281446,-31.107068720884556,-1.3012368224743351,-29.32520214876698,0.13872925856836532,-0.006201502951844545,193.63890196935483,179.11212389842228,-2.5821165893167404,,,,,,,1.1076943253911886,,,
0.3826913456728364,-2.262262435335951,-25.197611732189408,-1.9613839443825463,-23.86779945846488,0.1385896549501397,-0.0383140909720971,262.51121156448005,242.4299550647534,-1.4265125211663303,,,,,,,1.846288467956608,,,
0.40520260130065033,-2.8294923142496695,-17.51924265389942,-2.4986780792654475,-16.77813706288277,0.1377271566541195,-0.040610715355493744,341.0902175000375,314.9385584170809,-0.10202115872021977,,,,,,,2.4927428235164273,,,
0.4277138569284642,-3.2238724640373,-8.106812735725386,-2.8763750116465,-8.084811203494786,0.1368129584595236,-0.013487479876061446,418.1210534762198,386.17685317592407,1.2048743938530038,,,,,,,3.015042271843613,,,
0.4502251125562781,-3.406366997858032,2.565461010952564,-3.058374263350985,1.774591343545037,0.1365093383522586,0.03533901049565785,474.0861159913161,437.9765709229468,2.1689812056237088,,,,,,,3.3767529250807047,,,
0.47273636818409204,-3.348615249237289,13.514331027474894,-3.0184259839815373,11.888401236505581,0.13730486385116034,0.08963226818175177,486.3731369561809,449.2779105784029,2.4118271581000386,,,,,,,3.5423064188753273,,,
0.4952476238119059,-3.044390688838905,23.475463549783633,-2.750803144740541,21.08326264367858,0.13932259875270053,0.1283918302070528,442.4956424910038,408.45617673197387,1.7217858775239279,,,,,,,3.4861136842531137,,,
0.5177588794397199,-2.515928527888298,31.419473754383425,-2.276192429900353,28.405122076136404,0.14221286006301437,0.13443050130166792,352.890586644333,325.25326678851536,0.2682511892919024,,,,,,,3.2030706049374715,,,
0.5402701350675337,-1.808636722511983,36.99088590264785,-1.6367574657051864,33.52816133298156,0.1452390594419914,0.10170810926501343,247.49450854179068,227.57678832074384,-1.4536013706949404,,,,,,,2.714282322599028,,,
