t,r1x,r2x,r3x,v1x,v2x,v3x,a1x,a2x,a3x,r1y,r2y,r3y,v1y,v2y,v3y,a1y,a2y,a3y
0.0,0.97000436,-0.97000436,0.0,0.46620368499999953,0.46620368499999953,-0.93240737,-1.0912548957344106,1.0912548957344106,0.0,-0.24308753,0.24308753,0.0,0.43236573000000056,0.43236573000000056,-0.86473146,0.27347346892800095,-0.27347346892800095,0.0
0.01,0.97466639685,-0.96534232315,-0.0093240737,0.4663504317373446,0.4663504317373446,-0.9325541167373441,-1.0764203557688063,1.105769703237662,-0.029349347468855758,-0.2387638727,0.2474111873,-0.0086473146,0.43218063137984847,0.43218063137984986,-0.8645463613798483,0.25538666095950907,-0.2924063849898486,0.03701972403033957
0.02,0.9793313686347469,-0.9606773513652531,-0.018651082334746882,0.46679016039211096,0.46679016039211096,-0.9329938453921087,-1.0613163708183992,1.1199127543024618,-0.058596383484062486,-0.23444391737240303,0.251731142627597,-0.017290927227596967,0.4316252798798659,0.43162527987986865,-0.8639910098798662,0.23813897230094275,-0.3121895482669961,0.07405057596605336
0.03,0.9840022000578422,-0.9560065199421578,-0.027983950607842173,0.4675213379686072,0.4675213379686072,-0.9337250229686039,-1.0459913361711315,1.1336304679860485,-0.087639131814917,-0.23013136710240267,0.2560436928975974,-0.025927134797597326,0.43069951068182566,0.43069951068182843,-0.8630652406818262,0.22172077812742214,-0.3328240417693786,0.11110326364195641
0.04,0.988681795394119,-0.951326924605881,-0.03732558279411896,0.4685414150622347,0.4685414150622347,-0.9347451000622321,-1.0304916228188634,1.1468679097295278,-0.11637628691066426,-0.2258299271587665,0.26034513284123356,-0.03455223204123349,0.4294030560641454,0.4294030560641454,-0.8617687860641453,0.20612003584961602,-0.35430769574382437,0.14818765989420832
0.05,0.9933730283590869,-0.9466356916409131,-0.046678852609086816,0.4698468342456519,0.4698468342456519,-0.9360505192456531,-1.014861468428015,1.1595690182015692,-0.14470754977355416,-0.22154330598111976,0.2646317540188803,-0.04316251051888023,0.4277355557753701,0.4277355557753687,-0.8601012857753703,0.19132250567826542,-0.3766349035390572,0.18531239786079176
0.06,0.9980787320790321,-0.9419299879209679,-0.056046593179032024,0.4714330418161605,0.471433041816155,-0.937636726816158,-0.9991428906575521,1.1716768549849772,-0.17253396432742496,-0.2172752160432591,0.26889984395674094,-0.0517542577567409,0.4256965713786448,0.4256965713786448,-0.8580623013786457,0.1773119712708878,-0.3997964527550325,0.22248448148414468
0.07,1.0028016891954101,-0.93720703080459,-0.06543158714540998,0.4732945029088609,0.4732945029088498,-0.9394981879088524,-0.9833756219020218,1.1831338761135248,-0.19975825421150295,-0.21302937455354687,0.2731456854464532,-0.060323756546453146,0.42328560439111873,0.42328560439111873,-0.855651334391119,0.1640704584356268,-0.4237793744568267,0.2597089160211999
0.08,1.0075446221372093,-0.9324640978627909,-0.07483655693720907,0.47542471997860103,0.4754247199785899,-0.9416284049785936,-0.967597064374865,1.1938822241116023,-0.22628515973673713,-0.20880950395543674,0.2773655560445633,-0.06886728444456328,0.4205021179953,0.4205021179953,-0.8528678479953002,0.15157845005920972,-0.44856681320181796,0.29698836314260824
0.09,1.0123101835949821,-0.9276985364050182,-0.08426415524498185,0.47781625464984323,0.47781625464984323,-0.9440199396498428,-0.9518422643144009,1.2038640388275261,-0.25202177451312535,-0.20461933219364087,0.2815557278063592,-0.07738111350635915,0.41734556205496043,0.41734556205496043,-0.849711292054961,0.1398150956253619,-0.47413792055063286,0.334322824925271
