Time,StepCount,y_hat[1],y_hat[2],y_hat[3]
111,2775,0.403626,0.0030326,-4.10472e-05
112,2800,0.402393,0.00306059,-3.75068e-05
113,2825,0.396924,0.00313593,-3.5263e-05
114,2850,0.393104,0.00319464,-2.98567e-05
115,2875,0.395884,0.00331883,-2.29284e-05
116,2900,0.402992,0.00349604,-1.59624e-05
117,2925,0.408096,0.00347682,-6.59545e-06
118,2950,0.409462,0.00356026,1.65632e-06
119,2975,0.40746,0.00369847,6.3336e-06
120,3000,0.40401,0.00363401,8.36162e-06
121,3025,0.398978,0.00371108,1.06069e-05
122,3050,0.39314,0.00376152,1.50621e-05
123,3075,0.389862,0.00372533,2.09777e-05
124,3100,0.388036,0.0039156,2.47509e-05
125,3125,0.386662,0.00385225,3.12193e-05
126,3150,0.385119,0.00382997,3.94825e-05
127,3175,0.379519,0.00400737,4.62913e-05
128,3200,0.369023,0.00395982,5.14746e-05
129,3225,0.355648,0.00395543,5.48612e-05
130,3250,0.340062,0.00403125,5.73694e-05
131,3275,0.323929,0.00393788,6.14815e-05
132,3300,0.310455,0.00397369,6.63254e-05
133,3325,0.301649,0.00405149,7.2063e-05
134,3350,0.295421,0.00407233,7.88174e-05
135,3375,0.28652,0.00412419,8.35523e-05
136,3400,0.27293,0.00407935,8.41711e-05
137,3425,0.257914,0.00399102,8.19054e-05
138,3450,0.245594,0.00403304,8.03686e-05
139,3475,0.237574,0.0039953,8.10547e-05
140,3500,0.231495,0.00398265,8.20406e-05
141,3525,0.224772,0.00395634,8.33769e-05
142,3550,0.218781,0.00392851,8.47406e-05
143,3575,0.213508,0.00399475,8.37089e-05
144,3600,0.209749,0.00383239,8.20438e-05
145,3625,0.205111,0.00377016,8.13047e-05
146,3650,0.194884,0.00385703,7.88861e-05
147,3675,0.183414,0.00364638,7.46286e-05
148,3700,0.174149,0.00357879,7.09072e-05
149,3725,0.166075,0.00355934,6.97515e-05
150,3750,0.159481,0.00339249,7.10193e-05
151,3775,0.154071,0.00342314,7.04722e-05
