Time,StepCount,q[1],q[2],q[3]
130,3250,0.239311,0.00459197,0.000303457
131,3275,0.209041,0.00435893,0.000308015
132,3300,0.191522,0.00445036,0.000312363
133,3325,0.19462,0.00450955,0.000321904
134,3350,0.213348,0.00463626,0.000335226
135,3375,0.232242,0.00479878,0.000344896
136,3400,0.240513,0.00466722,0.000343075
137,3425,0.23825,0.00453178,0.000330362
138,3450,0.232489,0.00452983,0.00031432
139,3475,0.229091,0.00436733,0.00030143
140,3500,0.225854,0.00439574,0.000291979
141,3525,0.22038,0.00428871,0.00029008
142,3550,0.214355,0.00440279,0.000291341
143,3575,0.206771,0.00454771,0.000290401
144,3600,0.201318,0.00424102,0.000289213
145,3625,0.188973,0.00435682,0.000288175
146,3650,0.162712,0.00440999,0.000280848
147,3675,0.132769,0.00400508,0.000268866
148,3700,0.105599,0.00403741,0.000255153
149,3725,0.0862241,0.00381716,0.000248593
150,3750,0.0793991,0.00363201,0.00024751
151,3775,0.0837746,0.00379786,0.000247101
152,3800,0.0908095,0.00367993,0.000246211
153,3825,0.0893593,0.00358255,0.000234848
154,3850,0.0747821,0.0034291,0.000208601
155,3875,0.057874,0.00292015,0.000176623
156,3900,0.0544266,0.00284725,0.000144116
157,3925,0.067447,0.00275502,0.000118732
158,3950,0.0908439,0.00240993,0.000104562
159,3975,0.11247,0.00244117,9.34987e-05
160,4000,0.123534,0.00228228,8.40311e-05
161,4025,0.120238,0.00202909,7.20932e-05
162,4050,0.101934,0.00199884,5.48885e-05
163,4075,0.0783779,0.00158283,3.7368e-05
164,4100,0.0543644,0.00148633,2.09998e-05
165,4125,0.0302412,0.0014418,7.14649e-06
166,4150,0.0158858,0.00102701,2.5479e-06
167,4175,0.0107405,0.0010157,1.06741e-06
168,4200,0.00680092,0.000890242,6.01933e-06
169,4225,0.00129809,0.000713221,1.51406e-05
170,4250,-0.0108226,0.00076085,1.83334e-05
171,4275,-0.0334589,0.000538263,8.40662e-06
172,4300,-0.0621732,0.000169157,-9.05903e-06
173,4325,-0.0837689,1.9908e-06,-2.61847e-05
174,4350,-0.0839931,-0.000138864,-3.86489e-05
175,4375,-0.0625095,-9.33472e-05,-4.69189e-05
176,4400,-0.0336697,-0.000187635,-4.95349e-05
177,4425,-0.0112837,-0.000346916,-5.17055e-05
178,4450,-0.000385956,-0.000377933,-6.08624e-05
179,4475,-0.000486951,-0.000587228,-7.80852e-05
180,4500,-0.00724473,-0.000808609,-9.72731e-05
181,4525,-0.021621,-0.000851114,-0.000113729
182,4550,-0.0364961,-0.00116157,-0.000121253
183,4575,-0.0460973,-0.0010402,-0.000127669
184,4600,-0.0493964,-0.00106109,-0.000131155
185,4625,-0.0470339,-0.00143699,-0.000126432
186,4650,-0.0500295,-0.00123486,-0.000118805
187,4675,-0.0653291,-0.00128896,-0.000118251
188,4700,-0.0888412,-0.00167651,-0.000126587
189,4725,-0.115046,-0.00162554,-0.00013878
190,4750,-0.136814,-0.0019166,-0.000145832
191,4775,-0.145899,-0.00208553,-0.000149916
192,4800,-0.138331,-0.00196244,-0.000151852
193,4825,-0.118991,-0.00205707,-0.000146189
194,4850,-0.100739,-0.00196329,-0.000143197
195,4875,-0.0946954,-0.00197598,-0.000155174
196,4900,-0.0973355,-0.0024011,-0.000180375
197,4925,-0.0974908,-0.00240852,-0.000208466
198,4950,-0.0873028,-0.00242774,-0.0002312
199,4975,-0.0680465,-0.00260805,-0.000245235
200,5000,-0.0491376,-0.00253263,-0.000254481
201,5025,-0.0369386,-0.00261964,-0.000255817
202,5050,-0.0343394,-0.00257734,-0.000255398
203,5075,-0.0403222,-0.0025749,-0.000260288
204,5100,-0.0482923,-0.00285615,-0.000267242
205,5125,-0.0646932,-0.00270799,-0.000275067
206,5150,-0.0867499,-0.00281344,-0.000282218
207,5175,-0.100989,-0.00304252,-0.000285664
208,5200,-0.106973,-0.00293066,-0.000286779
209,5225,-0.105333,-0.00310331,-0.000277137
210,5250,-0.0973557,-0.00299788,-0.000260791
