Time,StepCount,V_wind,psi_wind_deg,ramp_duration,psi,u,v,tau_wind_surge,tau_wind_sway,tau_wind_yaw,enable_ramp
51,51,5.500000,20.000000,10.000000,0.536799,2.252068,-0.786967,345.910095,-12336.601932,-1389799.220016,1
52,52,5.500000,20.000000,10.000000,0.536411,2.255738,-0.785676,345.204849,-12331.502003,-1389029.817683,1
53,53,5.500000,20.000000,10.000000,0.536242,2.259088,-0.784436,344.341826,-12329.444091,-1388518.753021,1
54,54,5.500000,20.000000,10.000000,0.536291,2.262132,-0.783269,343.314994,-12330.253346,-1388245.805147,1
55,55,5.500000,20.000000,10.000000,0.536558,2.264885,-0.782197,342.120312,-12333.756918,-1388191.611989,1
56,56,5.500000,20.000000,10.000000,0.537040,2.267359,-0.781239,340.755580,-12339.783686,-1388337.591505,1
57,57,5.500000,20.000000,10.000000,0.537732,2.269564,-0.780411,339.220285,-12348.164145,-1388665.882185,1
58,58,5.500000,20.000000,10.000000,0.538630,2.271513,-0.779729,337.515460,-12358.730410,-1389159.300034,1
59,59,5.500000,20.000000,10.000000,0.539728,2.273213,-0.779204,335.643549,-12371.316322,-1389801.309343,1
60,60,5.500000,20.000000,10.000000,0.541020,2.274674,-0.778847,333.608278,-12385.757644,-1390576.004725,1
61,61,5.500000,20.000000,10.000000,0.542499,2.275904,-0.778668,331.414531,-12401.892316,-1391468.102073,1
62,62,5.500000,20.000000,10.000000,0.544156,2.276912,-0.778674,329.068234,-12419.560761,-1392462.936296,1
63,63,5.500000,20.000000,10.000000,0.545984,2.277704,-0.778870,326.576238,-12438.606222,-1393546.463880,1
64,64,5.500000,20.000000,10.000000,0.547973,2.278288,-0.779261,323.946215,-12458.875116,-1394705.268576,1
65,65,5.500000,20.000000,10.000000,0.550113,2.278671,-0.779847,321.186548,-12480.217400,-1395926.568737,1
66,66,5.500000,20.000000,10.000000,0.552395,2.278861,-0.780630,318.306235,-12502.486928,-1397198.225052,1
67,67,5.500000,20.000000,10.000000,0.554809,2.278864,-0.781610,315.314792,-12525.541799,-1398508.747678,1
68,68,5.500000,20.000000,10.000000,0.557343,2.278688,-0.782785,312.222162,-12549.244682,-1399847.301975,1
69,69,5.500000,20.000000,10.000000,0.559988,2.278338,-0.784151,309.038622,-12573.463127,-1401203.712249,1
70,70,5.500000,20.000000,10.000000,0.562732,2.277823,-0.785704,305.774707,-12598.069834,-1402568.463126,1
71,71,5.500000,20.000000,10.000000,0.565564,2.277149,-0.787439,302.441124,-12622.942906,-1403932.698286,1
72,72,5.500000,20.000000,10.000000,0.568474,2.276322,-0.789351,299.048676,-12647.966059,-1405288.216490,1
73,73,5.500000,20.000000,10.000000,0.571451,2.275351,-0.791431,295.608197,-12673.028807,-1406627.464895,1
74,74,5.500000,20.000000,10.000000,0.574484,2.274243,-0.793673,292.130476,-12698.026612,-1407943.529765,1
75,75,5.500000,20.000000,10.000000,0.577562,2.273004,-0.796067,288.626199,-12722.861004,-1409230.124756,1
76,76,5.500000,20.000000,10.000000,0.580675,2.271642,-0.798606,285.105889,-12747.439669,-1410481.576982,1
77,77,5.500000,20.000000,10.000000,0.583814,2.270165,-0.801279,281.579850,-12771.676513,-1411692.811114,1
78,78,5.500000,20.000000,10.000000,0.586967,2.268580,-0.804076,278.058118,-12795.491691,-1412859.331763,1
79,79,5.500000,20.000000,10.000000,0.590126,2.266894,-0.806988,274.550414,-12818.811618,-1413977.204403,1
80,80,5.500000,20.000000,10.000000,0.593281,2.265115,-0.810004,271.066103,-12841.568952,-1415043.035085,1
81,81,5.500000,20.000000,10.000000,0.596423,2.263251,-0.813114,267.614153,-12863.702556,-1416053.949155,1
82,82,5.500000,20.000000,10.000000,0.599544,2.261309,-0.816306,264.203108,-12885.157435,-1417007.569195,1
83,83,5.500000,20.000000,10.000000,0.602637,2.259297,-0.819571,260.841050,-12905.884659,-1417901.992367,1
84,84,5.500000,20.000000,10.000000,0.605692,2.257222,-0.822897,257.535582,-12925.841265,-1418735.767302,1
85,85,5.500000,20.000000,10.000000,0.608704,2.255092,-0.826274,254.293801,-12944.990132,-1419507.870692,1
86,86,5.500000,20.000000,10.000000,0.611666,2.252915,-0.829691,251.122282,-12963.299858,-1420217.683673,1
87,87,5.500000,20.000000,10.000000,0.614571,2.250697,-0.833138,248.027066,-12980.744600,-1420864.968110,1
88,88,5.500000,20.000000,10.000000,0.617414,2.248446,-0.836606,245.013648,-12997.303912,-1421449.842853,1
89,89,5.500000,20.000000,10.000000,0.620190,2.246170,-0.840083,242.086972,-13012.962564,-1421972.760035,1
90,90,5.500000,20.000000,10.000000,0.622894,2.243875,-0.843562,239.251424,-13027.710348,-1422434.481470,1
91,91,5.500000,20.000000,10.000000,0.625522,2.241567,-0.847033,236.510839,-13041.541870,-1422836.055193,1
92,92,5.500000,20.000000,10.000000,0.628071,2.239254,-0.850487,233.868499,-13054.456331,-1423178.792206,1
93,93,5.500000,20.000000,10.000000,0.630536,2.236941,-0.853916,231.327142,-13066.457298,-1423464.243469,1
94,94,5.500000,20.000000,10.000000,0.632916,2.234636,-0.857312,228.888968,-13077.552460,-1423694.177180,1
95,95,5.500000,20.000000,10.000000,0.635208,2.232343,-0.860669,226.555654,-13087.753385,-1423870.556398,1
96,96,5.500000,20.000000,10.000000,0.637410,2.230068,-0.863978,224.328369,-13097.075260,-1423995.517063,1
97,97,5.500000,20.000000,10.000000,0.639522,2.227818,-0.867233,222.207784,-13105.536633,-1424071.346459,1
98,98,5.500000,20.000000,10.000000,0.641541,2.225595,-0.870429,220.194099,-13113.159142,-1424100.462178,1
99,99,5.500000,20.000000,10.000000,0.643469,2.223406,-0.873560,218.287056,-13119.967249,-1424085.391647,1
100,100,5.500000,20.000000,10.000000,0.645304,2.221255,-0.876622,216.485966,-13125.987966,-1424028.752263,1
101,101,5.500000,20.000000,10.000000,0.647047,2.219146,-0.879608,214.789729,-13131.250588,-1423933.232209,1
102,102,5.500000,20.000000,10.000000,0.648698,2.217082,-0.882517,213.196861,-13135.786419,-1423801.571992,1
103,103,5.500000,20.000000,10.000000,0.650259,2.215067,-0.885343,211.705515,-13139.628506,-1423636.546769,1
104,104,5.500000,20.000000,10.000000,0.651731,2.213104,-0.888085,210.313514,-13142.811379,-1423440.949495,1
105,105,5.500000,20.000000,10.000000,0.653115,2.211195,-0.890739,209.018373,-13145.370789,-1423217.574960,1
106,106,5.500000,20.000000,10.000000,0.654414,2.209344,-0.893303,207.817327,-13147.343461,-1422969.204737,1
107,107,5.500000,20.000000,10.000000,0.655629,2.207551,-0.895776,206.707358,-13148.766853,-1422698.593083,1
108,108,5.500000,20.000000,10.000000,0.656762,2.205819,-0.898156,205.685224,-13149.678917,-1422408.453822,1
109,109,5.500000,20.000000,10.000000,0.657817,2.204150,-0.900443,204.747487,-13150.117884,-1422101.448227,1
110,110,5.500000,20.000000,10.000000,0.658796,2.202543,-0.902636,203.890536,-13150.122044,-1421780.173920,1
111,111,5.500000,20.000000,10.000000,0.659702,2.201001,-0.904735,203.110617,-13149.729549,-1421447.154788,1
112,112,5.500000,20.000000,10.000000,0.660538,2.199522,-0.906740,202.403857,-13148.978228,-1421104.831926,1
113,113,5.500000,20.000000,10.000000,0.661307,2.198109,-0.908652,201.766291,-13147.905403,-1420755.555582,1
114,114,5.500000,20.000000,10.000000,0.662012,2.196759,-0.910472,201.193884,-13146.547733,-1420401.578111,1
115,115,5.500000,20.000000,10.000000,0.662657,2.195474,-0.912200,200.682557,-13144.941062,-1420045.047896,1
116,116,5.500000,20.000000,10.000000,0.663245,2.194252,-0.913839,200.228205,-13143.120282,-1419688.004223,1
117,117,5.500000,20.000000,10.000000,0.663779,2.193093,-0.915391,199.826723,-13141.119211,-1419332.373071,1
118,118,5.500000,20.000000,10.000000,0.664263,2.191996,-0.916857,199.474025,-13138.970482,-1418979.963786,1
119,119,5.500000,20.000000,10.000000,0.664701,2.190959,-0.918239,199.166060,-13136.705444,-1418632.466590,1
120,120,5.500000,20.000000,10.000000,0.665095,2.189981,-0.919540,198.898832,-13134.354083,-1418291.450896,1
121,121,5.500000,20.000000,10.000000,0.665450,2.189060,-0.920762,198.668417,-13131.944946,-1417958.364366,1
122,122,5.500000,20.000000,10.000000,0.665768,2.188195,-0.921909,198.470976,-13129.505078,-1417634.532676,1
123,123,5.500000,20.000000,10.000000,0.666053,2.187383,-0.922983,198.302771,-13127.059982,-1417321.159939,1
124,124,5.500000,20.000000,10.000000,0.666308,2.186623,-0.923986,198.160174,-13124.633570,-1417019.329729,1
125,125,5.500000,20.000000,10.000000,0.666536,2.185913,-0.924923,198.039685,-13122.248146,-1416730.006668,1
126,126,5.500000,20.000000,10.000000,0.666741,2.185250,-0.925796,197.937932,-13119.924381,-1416454.038513,1
127,127,5.500000,20.000000,10.000000,0.666925,2.184632,-0.926609,197.851690,-13117.681310,-1416192.158712,1
128,128,5.500000,20.000000,10.000000,0.667091,2.184057,-0.927364,197.777882,-13115.536328,-1415944.989367,1
129,129,5.500000,20.000000,10.000000,0.667242,2.183523,-0.928066,197.713586,-13113.505203,-1415713.044569,1
130,130,5.500000,20.000000,10.000000,0.667380,2.183026,-0.928716,197.656044,-13111.602088,-1415496.734062,1
131,131,5.500000,20.000000,10.000000,0.667509,2.182565,-0.929320,197.602661,-13109.839548,-1415296.367183,1
132,132,5.500000,20.000000,10.000000,0.667630,2.182138,-0.929879,197.551013,-13108.228588,-1415112.157057,1
